start,end,step,result
3.16,11.97,0.45,77.67
1.74,4.76,0.51,90.74
0.18,5.99,0.64,78.40
1.03,3.68,0.06,74.39
3.99,11.86,0.08,75.68
6.64,6.87,0.53,100.00
5.46,8.17,0.32,100.00
6.74,12.88,0.46,69.53
1.33,7.32,0.81,76.17
2.76,12.45,0.37,92.99
1.67,4.04,0.32,79.30
8.75,9.39,0.48,100.00
1.81,7.23,0.47,82.52
8.80,12.55,0.61,78.43
1.06,2.60,0.62,70.37
1.87,11.52,0.09,83.15
5.84,10.14,0.71,72.01
2.49,11.56,0.04,82.80
8.19,9.53,0.78,100.00
6.22,9.98,0.91,76.00
1.08,14.21,0.20,76.18
3.46,7.51,0.48,100.00
2.13,7.86,0.56,74.61
7.19,11.39,0.46,67.00
6.52,12.54,0.15,97.39
7.71,9.86,0.64,68.75
2.03,14.33,0.91,78.79
8.00,9.54,0.13,100.00
6.08,14.43,0.12,78.80
1.74,7.43,0.22,74.83
7.44,7.58,0.54,100.00
2.23,6.35,0.66,79.59
6.82,8.02,0.99,100.00
1.53,2.23,0.27,70.37
1.82,11.58,0.54,77.47
4.06,4.50,0.03,100.00
1.87,10.60,0.47,82.59
5.53,13.80,0.13,100.00
7.87,10.60,0.23,66.09
2.69,9.93,0.95,71.88
4.35,5.05,0.18,65.62
8.52,9.56,0.50,100.00
